EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
60	16:35:19	5	0.0016	14.591985809326172	19.861675262451172	0.5421	0.5940	0.5668
61	16:36:43	1	0.0008	14.756231285095215	19.82058334350586	0.5448	0.5891	0.5661
62	16:38:09	2	0.0008	14.727826118469238	19.89851188659668	0.5410	0.5986	0.5683
63	16:39:33	3	0.0008	14.648777137756348	19.912612915039062	0.5411	0.5999	0.5690
64	16:40:58	4	0.0008	14.589290924072266	19.9085693359375	0.5415	0.5983	0.5685
65	16:42:23	5	0.0008	14.679705604553222	19.909215927124023	0.5419	0.5970	0.5682
66	16:43:48	1	0.0004	14.751974975585938	19.910783767700195	0.5415	0.5957	0.5673
67	16:45:14	2	0.0004	14.632638580322265	19.96770668029785	0.5404	0.6018	0.5695
68	16:46:40	3	0.0004	14.628451965332031	19.9320011138916	0.5411	0.5977	0.5680
69	16:48:06	4	0.0004	14.642450347900391	19.94159698486328	0.5403	0.5975	0.5674
70	16:49:34	5	0.0004	14.488474243164063	19.93572998046875	0.5406	0.5972	0.5675
71	16:50:59	1	0.0002	14.682024375915528	19.92501449584961	0.5417	0.5961	0.5676
72	16:52:24	2	0.0002	14.609753639221191	19.934661865234375	0.5408	0.5975	0.5677
73	16:53:50	3	0.0002	14.641832405090332	19.918190002441406	0.5422	0.5964	0.5680
74	16:55:15	4	0.0002	14.636159706115723	19.93844223022461	0.5411	0.5975	0.5679
75	16:56:39	5	0.0002	14.4825079498291	19.941225051879883	0.5412	0.5975	0.5679
